source,gear,win,arrive,done,dropped,cum_arrived,cum_done,cum_dropped,hit_n,empty_n,rt_hit_p50,rt_empty_p50,prep_hit_p50,prep_empty_p50,thermal,battC,bucketed
camera_sweep2.log,1,70,29.38,29.38,0,1179,1179,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,71,29.05,29.05,0,1240,1240,0,0,30,-1.0,22.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,72,21.2,21.2,0,1283,1283,0,0,30,-1.0,23.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,73,26.55,26.55,0,1337,1337,0,0,30,-1.0,23.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,74,30.2,30.2,0,1398,1398,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,75,29.4,29.4,0,1457,1457,0,0,30,-1.0,22.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,76,30.3,29.81,0,1518,1517,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,77,29.78,30.27,0,1578,1578,0,0,30,-1.0,20.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,78,26.52,26.52,0,1634,1634,0,0,30,-1.0,22.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,79,26.8,26.8,0,1688,1688,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,80,29.4,29.4,0,1748,1748,0,0,30,-1.0,22.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,81,30.3,29.81,0,1810,1809,0,0,30,-1.0,22.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,82,29.7,30.2,0,1870,1870,0,0,30,-1.0,20.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,83,29.46,29.46,0,1929,1929,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,84,30.0,30.0,0,1990,1990,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,85,30.05,30.05,0,2051,2051,0,0,30,-1.0,20.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,3,86,29.93,29.93,0,60,60,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep2.log,3,87,30.12,30.12,0,121,121,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
